iter	Passed	Remaining
0	3	3039
1	5	2819
2	8	2786
3	10	2720
4	13	2648
5	15	2628
6	18	2600
7	20	2577
8	23	2565
9	24	2450
10	27	2470
11	29	2468
12	32	2473
13	35	2472
14	37	2462
15	39	2450
16	42	2450
17	44	2453
18	47	2457
19	50	2454
20	52	2460
21	55	2452
22	57	2448
23	60	2450
24	63	2458
25	65	2461
26	68	2457
27	70	2456
28	73	2453
29	75	2455
30	78	2454
31	80	2449
32	83	2445
33	86	2449
34	88	2448
35	91	2447
36	93	2444
37	96	2444
38	99	2444
39	101	2438
40	104	2432
41	106	2427
42	108	2423
43	111	2419
44	113	2418
45	116	2417
46	119	2418
47	121	2418
48	124	2417
49	127	2414
50	129	2414
51	132	2410
52	134	2405
53	137	2401
54	139	2401
55	142	2398
56	144	2396
57	147	2397
58	150	2397
59	152	2395
60	155	2394
61	157	2390
62	160	2389
63	163	2389
64	165	2387
65	168	2385
66	171	2383
67	173	2379
68	176	2377
69	178	2374
70	181	2371
71	183	2369
72	186	2365
73	188	2363
74	191	2361
75	194	2358
76	196	2354
77	199	2353
78	201	2350
79	204	2347
80	206	2344
81	209	2342
82	211	2338
83	214	2336
84	216	2334
85	219	2332
86	222	2330
87	224	2326
88	227	2324
89	229	2323
90	232	2319
91	234	2317
92	237	2315
93	239	2313
94	242	2311
95	245	2309
96	247	2306
97	250	2305
98	252	2302
99	255	2300
100	258	2298
101	260	2295
102	263	2294
103	265	2290
104	268	2287
105	270	2284
106	273	2281
107	275	2278
108	278	2275
109	280	2272
110	283	2270
111	286	2268
112	288	2267
113	291	2264
114	294	2262
115	296	2261
116	299	2258
117	301	2255
118	304	2252
119	306	2250
120	309	2247
121	311	2243
122	314	2241
123	316	2238
124	319	2235
125	321	2232
126	324	2228
127	326	2226
128	329	2223
129	331	2221
130	334	2218
131	337	2216
132	339	2213
133	342	2210
134	344	2207
135	347	2206
136	349	2204
137	352	2203
138	355	2200
139	357	2198
140	360	2195
141	363	2193
142	365	2190
143	368	2187
144	370	2185
145	373	2183
146	376	2182
147	378	2179
148	381	2176
149	383	2174
150	386	2172
151	388	2169
152	391	2167
153	394	2164
154	396	2162
155	399	2160
156	401	2156
157	404	2154
158	406	2151
159	409	2149
160	411	2146
161	414	2144
162	417	2142
163	419	2140
164	422	2137
165	425	2136
166	427	2134
167	430	2131
168	432	2128
169	435	2126
170	438	2123
171	440	2121
172	443	2118
173	445	2116
174	448	2114
175	450	2111
176	453	2108
177	456	2106
178	458	2104
179	461	2101
180	463	2098
181	466	2095
182	468	2093
183	471	2090
184	474	2088
185	476	2085
186	479	2083
187	481	2080
188	484	2078
189	486	2075
190	489	2072
191	491	2070
192	494	2067
193	497	2065
194	499	2062
195	502	2059
196	504	2057
197	507	2055
198	510	2053
199	512	2050
200	515	2047
201	517	2045
202	520	2042
203	522	2040
204	525	2038
205	527	2034
206	530	2032
207	533	2029
